News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
376				 || 			Positive			 || 			"nullTweetDeckrn, is, a, secret, weapon, for, Twitter, power, users, The, column, layout, allows, them, to, keep, tabs, on, tweets, from, a, large, number, of, accounts, at, once, using, Twitters, handy, lists, That, could, be, about, t"			 || 			"TweetDeckrn is a secret weapon for Twitter power users. The column layout allows them to keep tabs on tweets from a large number of accounts at once, using Twitters handy lists. That could be about t "
377				 || 			Neutral			 || 			"nullWith, a, couple, of, generations, of, wireless, earbuds, under, its, belt, OnePlus, finally, has, the, AirPods, Pro, and, the, rest, of, the, premium, market, in, its, sights, As, part, of, an, event, today, that, also, includes"			 || 			"With a couple of generations of wireless earbuds under its belt, OnePlus finally has the AirPods Pro  and the rest of the premium market  in its sights. As part of an event today that also includes "
378				 || 			Positive			 || 			"nullTorontobased, Clearco, a, fintech, capital, provider, for, online, companies, has, raised, 215, million, in, a, round, led, by, SoftBank, Vision, Fund, II, The, financing, event, closed, just, weeks, after, Clearco, complete"			 || 			"Torontobased Clearco, a fintech capital provider for online companies, has raised 215 million in a round led by SoftBank Vision Fund II. The financing event closed just weeks after Clearco complete "
379				 || 			Neutral			 || 			"nullThe, popular, zombie, survival, video, game, The, Last, of, Us, is, all, about, tragedy, but, heres, another, tragedy:, that, Netflixs, David, Fincher, show, Mindhunter, is, not, returning, for, a, third, season, Its, a, bummer"			 || 			"The popular zombie survival video game The Last of Us is all about tragedy, but heres another tragedy: that Netflixs David Fincher show, Mindhunter, is not returning for a third season. Its a bummer  "
380				 || 			Negative			 || 			"nullThe, West, Coast, cant, catch, a, break, from, dangerous, and, extreme, heat, A, new, heatwave, is, set, to, hit, the, region, this, weekend, The, Northwest, will, thankfully, be, spared, the, worst, of, the, heat, But, sizzling"			 || 			"The West Coast cant catch a break from dangerous and extreme heat. A new heatwave is set to hit the region this weekend. The Northwest will, thankfully, be spared the worst of the heat. But sizzling  "
381				 || 			Neutral			 || 			"nullBill, Cosby, had, his, conviction, for, sexual, assault, overturned, by, a, Pennsylvania, appeals, court, on, Wednesday, a, decision, that, set, free, a, man, whose, case, had, represented, the, first, highprofile, sexual, assau"			 || 			"Bill Cosby had his conviction for sexual assault overturned by a Pennsylvania appeals court on Wednesday, a decision that set free a man whose case had represented the first highprofile sexual assau "
382				 || 			Neutral			 || 			"nullimage, copyrightToronto, Star, via, Getty, ImagesrnCanada, has, overtaken, the, US, in, second, dose, vaccination, rates, after, months, of, lagging, behind, its, southern, neighbour, rnAs, of, 16, July, 48, 45, of, Canadians"			 || 			"image copyrightToronto Star via Getty ImagesrnCanada has overtaken the US in second dose vaccination rates, after months of lagging behind its southern neighbour.rnAs of 16 July, 48.45 of Canadians  "
383				 || 			Negative			 || 			"nullFor, the, current, study, the, researchers, injected, the, solution, into, maize, leaves, which, they, chose, in, part, because, the, crop, is, critical, to, worldwide, food, supply, The, nanosensors, coated, the, outside, of"			 || 			"For the current study, the researchers injected the solution into maize leaves, which they chose, in part, because the crop is critical to worldwide food supply. The nanosensors coated the outside of "
384				 || 			Negative			 || 			"nullThe, Alphabet, company, is, doubling, up, on, simulation, as, it, gets, closer, to, commercialization, A, light, gray, cube, with, a, thin, blue, top, glides, down, a, darkened, highway, beset, on, all, sides, by, dozens, of, green, c"			 || 			"The Alphabet company is doubling up on simulation as it gets closer to commercialization A light gray cube with a thin blue top glides down a darkened highway, beset on all sides by dozens of green c "
385				 || 			Negative			 || 			"nullMany, teachers, and, parents, in, Indonesia, rely, on, WhatsApp, to, keep, in, touch, creating, multiple, groups, that, often, become, messy, and, highly, ineffective, and, result, in, confusion, or, lost, threads, says, Rizky"			 || 			"Many teachers and parents in Indonesia rely on WhatsApp to keep in touch, creating multiple groups that often become messy and highly ineffective, and result in confusion or lost threads, says Rizky  "
386				 || 			Neutral			 || 			"nullSwedish, electric, aviation, startup, Heart, Aerospace, has, received, its, biggest, order, to, date:, 200, of, its, inaugural, ES19, electric, aircraft, from, aviation, giant, United, Airlines, and, its, regional, airline, par"			 || 			"Swedish electric aviation startup Heart Aerospace has received its biggest order to date: 200 of its inaugural ES19 electric aircraft from aviation giant United Airlines and its regional airline par "
387				 || 			Positive			 || 			"nullAs, IoT, devices, like, Amazon, Echo, become, more, and, more, popular, it, isnt, unusual, for, users, to, resell, them, Indeed, its, increasingly, common, to, come, across, them, on, eBay, or, even, at, the, occasional, yard, sal"			 || 			"As IoT devices like Amazon Echo become more and more popular, it isnt unusual for users to resell them. Indeed, its increasingly common to come across them on eBay or even at the occasional yard sal "
388				 || 			Positive			 || 			"nullBeloved, voice, actor, Phil, LaMarr, picked, up, hosting, duties, at, last, nights, virtual, Eisner, Awards, at, San, Diego, ComicCon, 2021, Gene, Luen, Yang, and, Gurihiru, were, big, winners, thanks, to, their, DC, Comics, work"			 || 			"Beloved voice actor Phil LaMarr picked up hosting duties at last nights virtual Eisner Awards at San Diego ComicCon 2021. Gene Luen Yang and Gurihiru were big winners thanks to their DC Comics work  "
389				 || 			Negative			 || 			"nullFlorida, is, fighting, through, an, early, and, serious, algae, scourge, More, than, 790, tons, of, dead, fish, have, washed, up, on, beaches, in, Florida, over, the, past, few, weeks, as, a, red, tide, grips, the, Tampa, area, rnClust"			 || 			"Florida is fighting through an early and serious algae scourge. More than 790 tons of dead fish have washed up on beaches in Florida over the past few weeks as a red tide grips the Tampa area.rnClust "
390				 || 			Positive			 || 			"nullHow, does, a, search, engine, like, Google, quantify, analyze, and, rank, information?, What, factors, does, it, take, into, account, and, how, are, they, weighted?, The, algorithms, that, handle, queries, may, be, opaque, but"			 || 			"How does a search engine like Google quantify, analyze, and rank information? What factors does it take into account, and how are they weighted? The algorithms that handle queries may be opaque, but  "
391				 || 			Neutral			 || 			"nullBecause, legal, marijuana, is, reportedly, cutting, into, beer, sales, brewers, have, openly, embraced, cannabis, companies, Constellation, Brands(NYSE:STZ), was, the, first, major, alcoholic, beverage, company, to, break"			 || 			"Because legal marijuana is reportedly cutting into beer sales, brewers have openly embraced cannabis companies.Constellation Brands(NYSE:STZ) was the first major alcoholic beverage company to break  "
392				 || 			Neutral			 || 			"nullExperienced, Leaders, Bring, More, Than, 30, Years, of, Industry, ExpertisernBOSTON, July, 12, 2021, /PRNewswire/, NeuroBo, Pharmaceuticals, Inc, (Nasdaq:, NRBO), a, clinicalstage, biotechnology, company, focused"			 || 			"Experienced Leaders Bring More Than 30 Years of Industry ExpertisernBOSTON, July 12, 2021 /PRNewswire/  NeuroBo Pharmaceuticals, Inc. (Nasdaq: NRBO), a clinicalstage biotechnology company focused  "
393				 || 			Positive			 || 			"nullHALIFAX, Nova, Scotia, is, launching, a, communityled, justice, institute, to, support, Black, Nova, Scotians, who, interact, with, the, legal, system, rnPremier, Iain, Rankin, and, African, Nova, Scotian, Affairs, Minister, To"			 || 			"HALIFAX Nova Scotia is launching a communityled justice institute to support Black Nova Scotians who interact with the legal system.rnPremier Iain Rankin and African Nova Scotian Affairs Minister To "
394				 || 			Negative			 || 			"nullA, onceinacentury, drought, in, Brazil, has, walloped, the, worlds, largestcoffeecrop, pushing, up, wholesale, prices, to, their, highest, level, in, years, rnThe, going, rate, for, prized, arabicabeans, was, almost1"			 || 			"A onceinacentury drought in Brazil has walloped the worlds largestcoffeecrop, pushing up wholesale prices to their highest level in years.rnThe going rate for prized arabicabeans was almost1 "
395				 || 			Neutral			 || 			"nullHALIFAX, rnNova, Scotia, is, reporting, one, new, case, of, COVID19, on, Monday, as, the, active, number, of, cases, in, the, province, rises, to, 37, rnThe, new, case, was, identified, in, the, Eastern, zone, and, involves, a, cl"			 || 			"HALIFAX  rnNova Scotia is reporting one new case of COVID19 on Monday, as the active number of cases in the province rises to 37.rnThe new case was identified in the Eastern zone and involves a cl "
396				 || 			Negative			 || 			"nullTOKYO, rnMichael, Woods, came, agonizingly, close, to, opening, Canadas, medal, account, on, the, first, full, day, of, competition, at, the, 2020, Tokyo, Olympics, rnTake, a, look, at, what, Canada, did, on, Saturday, at, the, 2"			 || 			"TOKYO  rnMichael Woods came agonizingly close to opening Canadas medal account on the first full day of competition at the 2020 Tokyo Olympics.rnTake a look at what Canada did on Saturday at the 2 "
397				 || 			Neutral			 || 			"nullWhen, James, CharlesRoberts, booked, a, vehicle, back, in, May, he, and, his, family, were, looking, forward, to, a, twoweek, holiday, in, Southern, California, rnAfter, several, attempts, to, visit, Disneyland, were, thwarted"			 || 			"When James CharlesRoberts booked a vehicle back in May, he and his family were looking forward to a twoweek holiday in Southern California.rnAfter several attempts to visit Disneyland were thwarted "
398				 || 			Neutral			 || 			"nullSHENZHEN, China, June, 28, 2021, /CNW/, ZTE, Corporation, (0763, HK, /, 000063, SZ), a, major, international, provider, of, telecommunications, enterprise, and, consumer, technology, solutions, for, the, mobile, intern"			 || 			"SHENZHEN, China, June 28, 2021 /CNW/  ZTE Corporation (0763.HK / 000063.SZ), a major international provider of telecommunications, enterprise and consumer technology solutions for the mobile intern "
399				 || 			Neutral			 || 			"nullliEffective, this, morning, Ontario, is, entering, the, final, stage, of, its, COVID19, economic, reopening, plan, reports, CP24, For, the, first, time, in, months, indoor, dining, gyms, cinemas, nightclubs, and, other"			 || 			"liEffective this morning, Ontario is entering the final stage of its COVID19 economic reopening plan, reports CP24.For the first time in months, indoor dining, gyms, cinemas,nightclubs and other  "
400				 || 			Neutral			 || 			"nullToday, in, honour, of, National, Indigenous, History, Month, radio, stations, across, the, country, will, hold, space, for, A, day, to, listen, Over, 150, 000, indigenous, children, were, taken, away, to, residential, schools, a"			 || 			"Today in honour of National Indigenous History Month, radio stations across the country will hold space for A day to listen. Over 150, 000 indigenous children were taken away to residential schools a "
401				 || 			Positive			 || 			"nullTORONTO, Ontario, youth, aged, 12, to, 17, were, able, to, start, booking, accelerated, second, doses, of, their, COVID19, vaccines, Monday, as, the, government, worked, to, boost, immunization, rates, before, school, resumes, in"			 || 			"TORONTO Ontario youth aged 12 to 17 were able to start booking accelerated second doses of their COVID19 vaccines Monday as the government worked to boost immunization rates before school resumes in "
